UNIT_ID,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,REPORT_AC,GIS_ACRES,SHAPE_Length,SHAPE_Area
Yuba County,NELSON,2020-06,2020/06/23 00:00:00+00,11.0,110.0,109.6025,4179.74314204583,733134.698478967
Yuba County,AMORUSO,2020-06,2020/06/04 00:00:00+00,2.0,670.0,685.58502,12399.3753905116,4578171.89880051
Yuba County,ATHENS,2020-08,2020/03/01 00:00:00+00,14.0,26.0,27.30048,2119.19412003875,182387.640411692
Yuba County,FLEMING,2020-03,2020/04/01 00:00:00+00,9.0,13.0,12.93155,2029.52488137503,86679.423402436
Yuba County,MELANESE,2020-04,2020/04/19 00:00:00+00,18.0,10.3,10.31596,1342.74290294001,70179.1223470977
Yuba County,PFE,2020-07,2020/07/05 00:00:00+00,14.0,36.0,36.701931,3012.19835361044,244431.516854361
Yuba County,WALDO,2020-07,2020/07/12 00:00:00+00,9.0,10.7,10.10221,1425.98634226764,68043.0413665789
Yuba County,WILLOW,2020-03,2020/03/11 00:00:00+00,5.0,34.0,33.973888,2477.15181547552,230549.78505469
Yuba County,WILLOWS,2020-09,2020/10/13 00:00:00+00,7.0,1311.0,1309.09,15221.4105433282,8877495.80680043
Yuba County,DYER,2020-07,2020/07/06 00:00:00+00,8.0,195.0,194.66029,7757.24683769613,1296860.60847649
Yuba County,FARRIER,2020-07,2020/07/31 00:00:00+00,8.0,22.7,22.6343,1693.89812956216,150787.430569303
Yuba County,FIELDS,2020-10,2020/10/09 00:00:00+00,5.0,55.0,55.32843,3143.53141652648,373125.247500019
Yuba County,JONES,2020-08,2020/09/28 00:00:00+00,1.0,705.0,705.54602,15226.0547698771,4770841.80373448
Yuba County,RIOSA,2020-06,2020/06/15 00:00:00+00,11.0,13.8,13.69473,1743.67087360593,91856.8500681241
Butte County,NELSON,2020-06,2020/06/25 00:00:00+00,14.0,95.0,103.3313,5758.36450762757,703657.639355372
Butte County,POTTERS ,2020-08,2020/09/10 00:00:00+00,1.0,710.0,925.40192,16613.4839078943,6307904.03635036
Butte County,CASSCADE CREEK,2020-08,2020/09/10 00:00:00+00,1.0,12.0,260.1756,7022.5749273688,1780346.9101991
Butte County,TEDDY,2020-06,2020/06/23 00:00:00+00,14.0,134.0,13.27956,1648.63306678697,90049.4962999821
San Mateo - Santa Cruz County,COAST,2020-06,2020/06/29 00:00:00+00,7.0,20.0,20.2083,1702.00092173474,128343.170570779
